Products,Product groups,QTY,Safety Stock
BAG FOR LIFE,Accessories / Reusable Bags,10,2
ACNECIDE FACE 5%,Acne Treatment ¥ Benzoyl Peroxide,5,2
ALLERGY RELIEVER,Allergy Medication,25,2
Antihistamine Tablets 4mg 28s,Allergy Relief,21,2
AVOMINE 25MG TAB,Allergy Relief,7,2
BENADRYL ALLERGY one/a/day tablets 10mg  30,Allergy Relief,9,2
Benadryl Relief Plus 12s,Allergy Relief,14,2
CETIRIZINE 10MG,Allergy Relief,38,2
Cetirizine 10mg 30 Tablets,Allergy Relief,31,2
CETIRIZINE 10MG 30TAB,Allergy Relief,39,2
CHLORPHENAMINE,Allergy Relief,22,2
CLARITYN allergy tablets 10mg  30,Allergy Relief,21,2
CLARITYN allergy tablets 10mg  60,Allergy Relief,23,2
CLARITYN kids allergy syrup berry 5mg/5ml 60ml,Allergy Relief,16,2
CLARITYN tablets 10mg  10,Allergy Relief,37,2
CLARITYN tablets 10mg  20,Allergy Relief,36,2
LORATADINE 10MG,Allergy Relief,29,2
Loratadine 5mg/5ml Syrup,Allergy Relief,12,2
NUMARK OTC medicines allergy relief non/drowsy tablets 10mg  60,Allergy Relief,3,2
Piriteze Allergy Syrup 70ml,Allergy Relief,10,2
Piriton Allergy Tabs 30 Tabs,Allergy Relief,31,2
Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg,Allergy Relief,23,2
Hayfever relief wipes,Allergy Relief ,30,2
CHILDRENS ALLERGY RELIEF,Allergy Relief ¥ Children†s,17,2
Piriton Syrup 2mg/5ml 150ml,Allergy Relief ¥ Children†s,14,2
GALPHARM treathay tablets f/c 120mg  10,Allergy Relief ¥ Fexofenadine,12,2
GALPHARM treathay tablets f/c 120mg  30,Allergy Relief ¥ Fexofenadine,37,2
Phenergan Elixir 100ml,Allergy Relief ¥ Sedating,12,2
ALMUS CLOTRIMAZOLE 1% 20G,Antifungal ¥ Clotrimazole,24,2
CANESTEN 2% CREAM,Antifungal ¥ Clotrimazole,16,2
CANESTEN 2% CREAM 20g,Antifungal ¥ Clotrimazole,23,2
CANESTEN CREAM 2%,Antifungal ¥ Clotrimazole,5,2
Canesten Crm 1% 20g,Antifungal ¥ Clotrimazole,29,2
Clotrimazole 1% Cream,Antifungal ¥ Clotrimazole,10,2
CLOTRIMAZOLE CREAM,Antifungal ¥ Clotrimazole,36,2
Daktacort Hc Cream 15g,Antifungal ¥ Hydrocortisone Combination,4,2
Daktarin Aktiv Cream,Antifungal ¥ Miconazole,15,2
Daktarin Cream,Antifungal ¥ Miconazole,22,2
Daktarin Crm 2% 15g,Antifungal ¥ Miconazole,20,2
Daktarin Crm Dual Act 2% 15g Cream  2%,Antifungal ¥ Miconazole,14,2
Daktarin Intensive Cream 15g,Antifungal ¥ Miconazole,28,2
LAMISIL 1% CREAM,Antifungal ¥ Terbinafine,8,2
LAMISIL 1% ONCE,Antifungal ¥ Terbinafine,23,2
LAMISIL 1% SPRAY,Antifungal ¥ Terbinafine,10,2
Canesten 500mg Pessary,Antifungal ¥ Thrush Treatment,7,2
Canesten Cream/pessary Combi,Antifungal ¥ Thrush Treatment,2,2
Canesten Internal Cream,Antifungal ¥ Thrush Treatment,14,2
CANESTEN oral & cream duo 150mg/2% 1/10g,Antifungal ¥ Thrush Treatment,1,2
CANESTEN ORAL capsule 150mg  1,Antifungal ¥ Thrush Treatment,7,2
Canesten Soft Gel Pessary,Antifungal ¥ Thrush Treatment,39,2
CANESTEN THRUSH2%,Antifungal ¥ Thrush Treatment,8,2
CANESTEN vaginal tablets 200mg  3,Antifungal ¥ Thrush Treatment,4,2
Fluconazole 150mg Capsule,Antifungal ¥ Thrush Treatment,20,2
Antiseptic Spray 100ml,Antiseptics,5,2
Dettol Antiseptic  Lqd 500ml,Antiseptics,13,2
Dettol Antiseptic Lqd 750ml,Antiseptics,10,2
GERMOLENE ANTISEPT CREAM 30g,Antiseptics,29,2
Safe+sound Antiseptic Wips X10,Antiseptics,31,2
SAVLON 15G,Antiseptics,26,2
Savlon A/sept Crm 100g Antiseptic Cream,Antiseptics,17,2
Savlon Antisept Crm 30g,Antiseptics,10,2
SAVLON ANTISEPTIC CREAM 60G,Antiseptics,31,2
Sudocrem Antisept Cream 250g,Antiseptics,23,2
SUDOCREM ANTISEPT CRM 125G antiseptic cream,Antiseptics,18,2
T.c.p. Lqd 100ml,Antiseptics,7,2
ASPIRIN 300MG TABLETS,Aspirin,35,2
ASPIRIN 75MG,Aspirin,33,2
ASPIRIN 75MG GR,Aspirin,30,2
Aspirin Disp Tabs 300mg 32s,Aspirin,22,2
Aspirin Disp Tabs 75mg,Aspirin,11,2
Disp Asprin 75mg 100s,Aspirin,18,2
DISPERSIBLE ASPIRIN 75mg 100 TABS,Aspirin,7,2
Disprin Tabs 32 Tablets  300mg,Aspirin,7,2
APTAMIL milk powder anti reflux infant 800g,Baby & Infant Feeding,10,2
APTAMIL milk powder comfort infant 800g,Baby & Infant Feeding,18,2
APTAMIL milk powder growing up 1 year+ 800g,Baby & Infant Feeding,6,2
Cow/gate Instant Carobel 135g Instant Carobel,Baby & Infant Feeding ¥ Thickener,17,2
CHILDS FARM baby care wash 250ml ,Baby Care ¥ Bath & Wash,26,2
INFACARE BABYBATH,Baby Care ¥ Bath & Wash,2,2
OILATUM JUNIOR emollient bath additive 63.4% 600ml,Baby Care ¥ Bath & Wash,9,2
Dentinox Colic Drps +syr 100ml With Syringe  21mg/2.5ml,Baby Care ¥ Colic Relief,22,2
Infacol 85ml,Baby Care ¥ Colic Relief,31,2
Infacol Drops 50ml,Baby Care ¥ Colic Relief,11,2
Woodwards Gripe Water 150ml,Baby Care ¥ Colic Relief,30,2
Johnsons Baby Oil 200ml,Baby Care ¥ Moisturiser,6,2
JOHNSONS BABY OIL 500ML,Baby Care ¥ Moisturiser,8,2
BEPANTHEN NAPPY OINT 100g,Baby Care ¥ Nappy Cream,8,2
SUDOCREM,Baby Care ¥ Nappy Cream,8,2
SUDOCREM 60G,Baby Care ¥ Nappy Cream,14,2
MILTON STERILISING TABLETS,Baby Care ¥ Sterilising,10,2
Pampers Sensitive Baby Wipes 52s,Baby Care ¥ Wipes,30,2
WATER WIPES,Baby Care ¥ Wipes,34,2
PAMPERS baby wipes fresh clean  52,BabyCare  ¥ Wipes,29,2
MERIDIANA bath mats white 69cm X 38cm,Bath Additives,10,2
SPA BODY SCRUB 200ML,Bath Additives ¥ Exfoliating,10,2
MAKE A SPLASH BATH BOMB,Bath Additives ¥ Fragrance,32,2
RADOX BATH FEEL RELAXED,Bath Additives ¥ Fragrance,13,2
DR TEALS PURE EPSOM SALT,Bath Additives ¥ Muscle Relief,11,2
Epsom Salt Bath,Bath Additives ¥ Muscle Relief,36,2
DURACELL PLUS 9V,Batteries,5,2
Anbesol Liquid 15ml,Bite & Sting Relief,17,2
Anbesol Teething Gel 10g,Bite & Sting Relief,2,2
Anhydrol Forte Roll on,Bite & Sting Relief,7,2
ANTHISAN BITE & STING cream 2% 20g,Bite & Sting Relief,34,2
ANTHISAN cream 2% 25g,Bite & Sting Relief,10,2
SAVLON bites & stings gel 0.5%/2%/1% 20g,Bite & Sting Relief,25,2
SKINCALM 1% BITE AND STING CREAM HYDROCORTISONE,Bite & Sting Relief,15,2
A.VOGEL coughs colds &amp; flu tablets echinacea forte  40,Cold & Flu Relief,17,2
Beechams AlL/IN/One 160ml,Cold & Flu Relief,26,2
BEECHAMS ALL/IN/ONE max capsules 100mg/500mg/6.1mg  16,Cold & Flu Relief,29,2
BEECHAMS oral powder sachets 600mg/50mg  10,Cold & Flu Relief,9,2
Benylin Day & Night Cold Treatment Tablets 25mg /500mg /500mg /60mg  16,Cold & Flu Relief,12,2
Benylin Mucus Cof + Decongest 100ml Mucus Cough + Decongestant,Cold & Flu Relief,21,2
Benylin Mucus Cough And Cold Tabs 16,Cold & Flu Relief,13,2
Care Decongestant Tabs,Cold & Flu Relief,0,2
COOL CAPS,Cold & Flu Relief,1,2
DAY NURSE tablets f/c 500mg/30mg  18,Cold & Flu Relief,27,2
Lempsip Max Sach Lemon 10s,Cold & Flu Relief,5,2
Lemsip Max AlL/IN/One Sach Lemon 8 Sachets,Cold & Flu Relief,36,2
Lemsip Max C/fl Dy/nght 16 Capsules,Cold & Flu Relief,30,2
LEMSIP MAX COLD/FLU CAPS 16s,Cold & Flu Relief,21,2
Lemsip Max Cold/flu Sach 10 Blackcurrant,Cold & Flu Relief,0,2
Lemsip Max Cold/flu Sach 5 Blackcurrant,Cold & Flu Relief,33,2
Menthol bp,Cold & Flu Relief,3,2
Nurofen Cold&flurelief 16s,Cold & Flu Relief,8,2
NUROFEN DAY & NIGHT COLD & FLU tablets 200mg/5mg  16,Cold & Flu Relief,1,2
Night Nurse 160ml,Cold & Flu Relief ¥ Night,21,2
Night Nurse Capsules 10,Cold & Flu Relief ¥ Night,23,2
Sinutab Tablets 15s,Cold & Flu Relief ¥ Sinus,18,2
CYMEX cream 0.5% w/w/0.1% w/w/9%/1% 5g,Cold Sore Treatment,3,2
ZOVIRAX COLD SORE CREAM,Cold Sore Treatment,27,2
Zovirax Cold Sore Crm Pmp 2g,Cold Sore Treatment,8,2
Extra Chewing Gum Spearmint,Confectionery ¥ Gum,38,2
WRIGLEYS EXTRA COOL BREEZE,Confectionery ¥ Gum,23,2
WRIGLEYS EXTRA WHITE CHEWING GUM,Confectionery ¥ Gum,21,2
SULA LIQUORICE DROPS SF,Confectionery ¥ Sugar-Free,37,2
Sula Pear Drops,Confectionery ¥ Sugar-Free,30,2
DUREX contraceptive sheaths thin feel  12,Contraception ¥ Condoms,29,2
DUREX lubricant play 2in1 massage sensual 200ml,Contraception ¥ Condoms,16,2
ALMUS vapour rub 50g,Cough & Cold Relief,22,2
SNUFFLE BABE VAPOUR RUB,Cough & Cold Relief ¥ Baby,16,2
SNUFFLEBABE nasal drops 10ml,Cough & Cold Relief ¥ Baby,11,2
SNUFFLEBABE saline spray 15ml,Cough & Cold Relief ¥ Baby,6,2
Olbas Inhaler 695mg,Cough & Cold Relief ¥ Inhaler,38,2
VICKS inhaler 0.5ml,Cough & Cold Relief ¥ Inhaler,26,2
Vicks First Def Nasal Spry 15ml,Cough & Cold Relief ¥ Nasal Spray,18,2
Vicks Sinex Micromist 15ml,Cough & Cold Relief ¥ Nasal Spray,14,2
Vicks Sinex Soother Nasal Spry,Cough & Cold Relief ¥ Nasal Spray,6,2
OLBAS oil 30ml,Cough & Cold Relief ¥ Vapour Oil,2,2
OLBAS oil for children 12ml,Cough & Cold Relief ¥ Vapour Oil,39,2
CALPOL vapour plug refill pads  10,Cough & Cold Relief ¥ Vapour Pads,20,2
Vapour Rub 50g,Cough & Cold Relief ¥ Vapour Rub,14,2
VICKS vaporub easy applicator 35g,Cough & Cold Relief ¥ Vapour Rub,30,2
Vicks Vapour Rub 100g,Cough & Cold Relief ¥ Vapour Rub,2,2
JUNIOR BRONCHO 3 YEARS OLD,Cough Relief ¥ Children,2,2
Benylin Child Night Cough,Cough Relief ¥ Children†s,23,2
BRONCHOSTOP junior syrup 200ml,Cough Relief ¥ Children†s,5,2
Calcough Infant Syrup sf,Cough Relief ¥ Children†s,28,2
Simple Linctus Paediactric,Cough Relief ¥ Children†s,21,2
SIMPLE LINCTUS PAEDIATRIC S/F,Cough Relief ¥ Children†s,16,2
Simple Linctus S/f 200ml,Cough Relief ¥ Children†s,29,2
ALMUS mucus cough syrup 100mg/5ml 200ml,Cough Relief ¥ Expectorants,29,2
BENYLIN CHESTY COUGH ORG 150ml,Cough Relief ¥ Expectorants,29,2
Benylin Mucus Relief Ngt 150ml,Cough Relief ¥ Expectorants,10,2
Benylin Non Drsy Chesty 300ml,Cough Relief ¥ Expectorants,9,2
COVONIA 300ML CHESTY COUGH,Cough Relief ¥ Expectorants,34,2
COVONIA CHESTY CGH MIX 150ml,Cough Relief ¥ Expectorants,7,2
Covonia Chesty Cgh Sf 150ml,Cough Relief ¥ Expectorants,9,2
Covonia Cough Original,Cough Relief ¥ Expectorants,37,2
Covonia Dry&tckly Linctus 150ml,Cough Relief ¥ Expectorants,31,2
ROBITUSSIN CHESTY CGH 250ml,Cough Relief ¥ Expectorants,2,2
ROBITUSSIN CHESTY COUGH 100ml,Cough Relief ¥ Expectorants,3,2
Broncho Stop Liq 240ml,Cough Relief ¥ Herbal,17,2
Buttercup Bronchostop Syr 200ml,Cough Relief ¥ Herbal,26,2
CHLORALIEVE lozenges honey & lemon 0.6mg/1.2mg/2mg  24,Cough Relief ¥ Lozenges,39,2
Fishermans Friend,Cough Relief ¥ Lozenges,19,2
Fishermans Friend B/curt 25g,Cough Relief ¥ Lozenges,6,2
Fishermens Friend Cherry Loz 25g,Cough Relief ¥ Lozenges,1,2
Halls Cherry,Cough Relief ¥ Lozenges,8,2
Halls Citrus sf,Cough Relief ¥ Lozenges,35,2
Halls Original,Cough Relief ¥ Lozenges,0,2
Halls Soothers Honey&lemon 10 Honey And Lemon,Cough Relief ¥ Lozenges,20,2
Halls Soothers Peach,Cough Relief ¥ Lozenges,29,2
Halls Soothers S/Berry,Cough Relief ¥ Lozenges,34,2
HERBAL CHESTY COUGH,Cough Relief ¥ Lozenges,33,2
JAKEMANS menthol lozenges blackcurrant 73g,Cough Relief ¥ Lozenges,14,2
JAKEMANS menthol lozenges cherry 73g,Cough Relief ¥ Lozenges,10,2
JAKEMANS menthol lozenges honey & lemon 160g,Cough Relief ¥ Lozenges,29,2
JAKEMANS menthol lozenges honey & lemon 73g,Cough Relief ¥ Lozenges,37,2
JAKEMANS menthol lozenges menthol & eucalyptus 73g,Cough Relief ¥ Lozenges,11,2
JAKEMANS menthol lozenges peppermint 73g,Cough Relief ¥ Lozenges,6,2
JAKEMANS menthol lozenges throat & chest 73g,Cough Relief ¥ Lozenges,31,2
JAKEMANS menthol sweets throat & chest 41g,Cough Relief ¥ Lozenges,35,2
Jakemans Throat/chest Stick,Cough Relief ¥ Lozenges,10,2
MAC sore throat lozenges dual action blackcurrant flavour  12,Cough Relief ¥ Lozenges,6,2
MAC sore throat lozenges honey & lemon flavour  12,Cough Relief ¥ Lozenges,1,2
