"SKUID","Description","QTY Sold","Total","Vat","Discount"
"945","£1 Lines","1","1.00","0.17","0.00"
"5011309897319","ACRIFLEX CREAM 30g","1","3.99","0.67","0.00"
"5060057402344","ALMUS cold sore cream 5% 2g","1","2.99","0.50","0.00"
"4005800230110","Aqua Protect 100% Waterproof 20s","1","4.99","0.83","0.00"
"5055382306269","ARM BLOOD PRESSURE MONITOR","1","32.99","5.50","0.00"
"5012617017116","Aspirin Disp Tabs 75mg","1","0.85","0.14","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","1","1.50","0.25","0.00"
"792850146006","BURTS BEES HONEY LIP BALM","1","4.20","0.70","0.00"
"5017371146843","Calypso 50 High 150ml","1","8.99","1.50","0.00"
"5010605054075","CANESTEN 2% CREAM 20g","1","10.59","1.77","0.00"
"5060464503986","CETIRIZINE 10MG","1","3.99","0.67","0.00"
"5017123047145","Cetirizine 10mg 30 Tablets","1","3.99","0.67","0.00"
"96186886","Chapstick Cherry","1","1.49","0.25","0.00"
"5060013941610","CO CODAMOL 8MG/500MG","2","7.98","1.34","0.00"
"96199480","COTTON BUDS","1","1.00","0.17","0.00"
"5010441021354","Cotton Wool Roll","1","1.15","0.19","0.00"
"9001375996494","Cow/gate Instant Carobel 135g Instant Carobel","1","4.35","0.00","0.00"
"5000158105294","Cuprofen 24s","1","3.99","0.67","0.00"
"8908016224019","CURALENE JELLY","1","1.49","0.25","0.00"
"76111587","Dextro Energy Classic 47g","6","4.74","0.00","0.00"
"80466437","DOVE ROLL ON ORIGINAL","1","3.55","0.59","0.00"
"5060209732442","EPIMAX cream 100g ","1","1.49","0.25","0.00"
"4005800044427","Eplast Fab/wsh/proof18s","1","2.63","0.44","0.00"
"5060375230179","FLARIN soft capsules 200mg  30","1","12.99","2.17","0.00"
"5000158066366","Gaviscon Adv Tabs 60 Mint","2","12.64","2.10","0.00"
"5060342240538","GLUCORX HCT blood glucose & ketone monitoring system","1","19.99","3.33","0.00"
"5017371157870","GRADUAL TANNING LOTION","1","3.49","0.58","0.00"
"5031676000754","Hydrocortisone 1% Cream","1","8.19","1.37","0.00"
"4031626710734","Hylo Tear Eye Drops","2","30.60","5.10","0.00"
"5010441006481","Ibuprofen Tablets 200mg 24","1","3.19","0.53","0.00"
"6003058068026","KEDLEY KNEE SUPPORT L","1","6.49","1.08","0.00"
"6003058068033","KEDLEY KNEE SUPPORT XL","1","6.49","1.08","0.00"
"5000223421397","Melolin Single 10x10","2","1.12","0.18","0.00"
"991","MISC","1","55.00","9.17","0.00"
"5012748616233","MOVICOL EASE powder for oral solution sachets flavour free 13.125g/46.6mg/178.5mg/350.7mg  20","1","10.89","1.82","0.00"
"5060135051648","O.R.S. oral rehydration salt for children tablets strawberry  24","1","7.99","1.33","0.00"
"5060135050115","O.r.s. Oral Rehydration Salt Tablets Blackcurrant   12","1","4.50","0.75","0.00"
"5060135050146","Ors","1","4.50","0.75","0.00"
"3574661316123","OVEX SUSPENSION FAMILY PK 30ml","1","15.99","2.67","0.00"
"5015201009610","PARACETAMOL EFFERVESCENT TABLETS","1","4.10","0.68","0.00"
"5038483000076","Paramol Ets 24 Tabs","1","8.49","1.42","0.00"
"5013011002487","Phenergan Elixir 100ml","1","5.62","0.94","0.00"
"5054563076137","Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg","1","8.49","1.42","0.00"
"999","Prescriptions Nhs","25","247.50","0.00","0.00"
"998","Prescriptions Private","6","219.21","0.00","0.00"
"5000231049873","Radox Shower Active 250ml","1","2.15","0.36","0.00"
"5018632116865","Safe+sound Antiseptic Wips X10","1","1.69","0.28","0.00"
"8699568523773","SILVIKRIN hairspray power extreme hold 75ml","1","1.99","0.33","0.00"
"5012616267659","SOLPADEINE MAX 24","1","9.07","1.51","0.00"
"5012616268007","SOLPADINE PLUS 24","2","14.54","2.42","0.00"
"5012674061381","STUGERON 15 TABS","1","5.29","0.88","0.00"
"5060100936871","SURESIGN 6 day early midstream pregnancy test  2","1","6.99","1.17","0.00"
"5391513951879","SYNDOL tablets 30mg/10mg/5mg/450mg  10","1","4.59","0.77","0.00"
"5024874016535","Valupak Magnesium 187.5mg 30","1","1.14","0.19","0.00"
"42182627","VASELINE PETRO JELLY 50ML","1","1.39","0.23","0.00"
"8006540616048","VICKS inhaler 0.5ml","1","2.60","0.43","0.00"
