SKUID,Description,QTY Sold,Total,Vat,Discount,Date
5.00E+12,Allevia Fexofenadine,1,10.49,1.75,0,01/05/2025
5.06E+12,ALVITA diagnostic thermometers flexible digital MT509,1,3.99,0.67,0,01/05/2025
3.57E+12,Imodium Instants 12s,1,8.24,1.37,0,01/05/2025
5.00E+12,KALMS DAY,1,6.87,1.15,0,01/05/2025
5.02E+12,KIDS HOT COLD PACK,1,4.99,0.83,0,01/05/2025
5.06E+12,PARACETAMOL,4,6,1,0,01/05/2025
5.01E+12,Vira Soothe 75g,2,19.98,3.34,0,01/05/2025
5.02E+12,WIDE VELVET ALICE BAND BROWN/BLACK,1,2.59,0.43,0,01/05/2025
4.01E+12,Eplast Fab/wsh/proof18s,1,2.63,0.44,0,01/05/2025
50084470,Fishermans Friend B/curt 25g,2,1.58,0.26,0,01/05/2025
50658053,Halls Cherry,7,5.95,0.99,0,01/05/2025
4.08E+12,Head&should S/poo 225ml,1,3.25,0.54,0,01/05/2025
991,MISC,2,17.11,2.86,0,01/05/2025
5.02E+12,Otex Olive Oil Ear Drops 10ml Olive Oil Ear Drops,1,3.99,0.67,0,01/05/2025
999,Prescriptions Nhs,39,386.1,0,0,01/05/2025
5.02E+12,SAFE SOUND SELF ADHESIVE BANDAGE,1,3.45,0.58,0,01/05/2025
3.57E+12,SUDAFED DECONG TABS 12s,1,4.79,0.8,0,01/05/2025
1.05E+18,SURGICAL TAPE,2,2.98,0.5,0,01/05/2025
5.01E+12,Vicks First Def Nasal Spry 15ml,1,7.65,1.28,0,01/05/2025
5.02E+12,Calypso Kids Sun Lotion Spf 50,3,20.97,3.51,0,01/05/2025
5.00E+12,Co Codamol 8/500mg Eff,1,5.99,1,0,01/05/2025
8.72E+12,COLGATE toothpaste total active fresh 75ml,2,5,0.84,0,01/05/2025
5.06E+12,Difflam Spray 30ml,1,8.49,1.42,0,01/05/2025
3.57E+12,NICORETTE lozenges mint 2mg  40,1,10,0.48,0,01/05/2025
5.06E+12,POCKET TISSUES,1,1.49,0.25,0,01/05/2025
5.06E+12,Ultra Chlora Cherry Spy 15ml,1,6.15,1.03,0,01/05/2025
5.05E+12,Voltarol 12hr EmugeL-P 50g,1,11.99,2,0,01/05/2025
1.04E+18,ZETUVIT 10CMX20CM,4,2,0.33,0,01/05/2025
5.06E+12,ALVITA beauty & toiletries cotton wool balls  100,1,1.49,0.25,0,01/05/2025
5.01E+12,CALPOL 2M+ 100ML,1,4.59,0.77,0,01/05/2025
6.10E+11,FINGER & TOE NAIL POLISH WITH ACETONE,1,1,0.17,0,01/05/2025
5.06E+12,IBUPROFEN AMD CODEINE,4,33.96,5.68,0,01/05/2025
5.03E+12,JAKEMANS menthol sweets throat & chest 41g,1,0.99,0.17,0,01/05/2025
5.06E+12,Lactulose 3.3g/5ml Oral Solusion,1,6.29,1.05,0,01/05/2025
7.32E+12,MEPORE DRESSING 9X20CM/3.6X8IN,3,3,0.5,0,01/05/2025
5.01E+12,NUROFEN PLUS IBUPROFEN.CODEINE 24TAB,1,9.8,1.63,0,01/05/2025
5.01E+12,OPTICROM ALLERGY 2%,1,5.99,1,0,01/05/2025
5.05E+12,Piriton Allergy Tabs 30 Tabs,1,4.99,0.83,0,01/05/2025
998,Prescriptions Private,3,26.94,0,0,01/05/2025
5.01E+12,SOLPADINE PLUS 24,2,14.54,2.42,0,01/05/2025
5.06E+12,ALMUS period pain reliever tablets g/r 250mg  9,1,5.49,0.73,1.1,01/05/2025
5.01E+12,COVONIA CHESTY CGH MIX 150ml,1,6,1,0,01/05/2025
5.06E+12,MINIONS MEGA MULTI VITAMINS 60,1,7.99,1.33,0,01/05/2025
8.00E+12,PAMPERS baby wipes fresh clean  52,1,1.2,0.2,0,01/05/2025
5.06E+12,PARACETAMOL CAPSULES 32S,2,4,0.67,0,01/05/2025
5.04E+12,Paramol Tabs Ets 32,1,9.99,1.67,0,01/05/2025
5.10E+12,WATER WIPES,2,5.72,0.96,0,01/05/2025
5.06E+12,ALMUS hayfever & allergy relief tablets 10mg  30,1,2.49,0.42,0,01/05/2025
5.00E+12,Dulcolax 5mg Gastro Tabs 20,1,3.14,0.52,0,01/05/2025
50357475,Fishermens Friend Cherry Loz 25g,1,0.79,0.13,0,01/05/2025
5.03E+12,Hydrocortisone 1% Cream,1,8.19,1.37,0,01/05/2025
7.21E+11,KLIARVAX OLIVEOIL DROPS,1,3.99,0.67,0,01/05/2025
8.71E+12,LYNX antiperspirant black 150ml ,1,3.29,0.55,0,01/05/2025
5.02E+12,SUDOCREM ANTISEPT CRM 125G antiseptic cream,1,4.35,0.73,0,01/05/2025
5.00E+12,Bonjela Cool Mint 15g,1,5.9,0.98,0,01/05/2025
5.00E+12,Corsodyl M/wash Alc Free 300ml,2,11.7,1.96,0,01/05/2025
5.06E+12,MIGRAINE RELIEF BUCCAL,1,6.99,1.17,0,01/05/2025
5.01E+12,NUMARK toiletries & personal care lens wipes  50,1,2.49,0.42,0,01/05/2025
5.01E+12,SOLPADEINE MAX 24,6,54.42,9.06,0,01/05/2025
5.06E+12,ALMUS CALAMINE LOTION ,1,3.29,0.55,0,01/05/2025
5.06E+12,EPIMAX,1,4.99,0.83,0,01/05/2025
5.00E+12,Fybogel HI- Fibre Orange,1,10.99,1.83,0,01/05/2025
5.02E+12,GALPHARM treathay tablets f/c 120mg  30,1,6.99,1.17,0,01/05/2025
7.06E+11,Neilmed Sinus Rinse Refill Kit,1,18.25,3.04,0,01/05/2025
5.01E+12,Night Time Sleep Aid 25mg 20 Tabs,1,3.89,0.65,0,01/05/2025
5.00E+12,Nurofen 200mg Caplets,1,2.43,0.41,0,01/05/2025
3.09E+12,Bic 1 Sens 5pk,2,1.78,0.3,0,01/05/2025
8.70E+12,CLAIROL nice n easy care colour dark brown 4,1,7.99,1.33,0,01/05/2025
96043509,Halls Citrus sf,2,1.7,0.28,0,01/05/2025
