"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5000309007668","ANADIN EXTRA ","8","15.92","2.64","0.00"
"5016379105005","Anhydrol Forte Roll on","4","16.04","2.68","0.00"
"5012616291708","Beconase Hayfever Nasal Spray 0.05% 180 Doses","4","43.96","7.32","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","20","30.00","5.00","0.00"
"3574661272610","Benylin Dry Cough Night 150ml","4","31.96","5.32","0.00"
"3574660572971","Benylin Mucus Cof + Decongest 100ml Mucus Cough + Decongestant","4","22.76","3.80","0.00"
"5600244290035","Benzydamine 0.15% Oromucosal Spray","4","27.96","4.68","0.00"
"5054563129734","CENTRUM ADVANCE 50 PLUS","4","25.76","4.28","0.00"
"5017123047145","Cetirizine 10mg 30 Tablets","4","15.96","2.68","0.00"
"5000309005978","CHAPSTICK lip balm original card single","4","6.36","1.08","0.00"
"4084500477360","Clearblue Digital Preg Test Sngle","4","49.16","8.20","0.00"
"5060013941610","CO CODAMOL 8MG/500MG","4","15.96","2.68","0.00"
"5011309013719","Covonia Dry&tckly Linctus 150ml","4","27.96","4.68","0.00"
"5011309020014","Covonia Original Balsam","4","28.00","4.68","0.00"
"5011309016116","Covonia Throat Spray 30ml","4","36.00","6.00","0.00"
"5027097795331","Daktacort Hc Cream 15g","4","30.76","5.12","0.00"
"50184262","Dextro Energy B/currant 47g","4","3.16","0.00","0.00"
"76111587","Dextro Energy Classic 47g","4","3.16","0.00","0.00"
"76111570","Dextro Lemon","4","3.16","0.52","0.00"
"5000158063808","Disprin Tabs 32 Tablets  300mg","4","11.96","2.00","0.00"
"8720181286902","DOVE CLASSIC  ","4","10.00","1.68","0.00"
"7350051300462","EAR PLUGS 2P CHILDREN","4","15.96","2.68","0.00"
"5010724526149","Femfresh Wipes 25s","4","11.96","2.00","0.00"
"033984017603","FISH OIL CONCENTRATE 1000MG 60 SOFTGELS","4","31.12","5.20","0.00"
"50357475","Fishermens Friend Cherry Loz 25g","4","3.16","0.52","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","4","27.96","4.68","0.00"
"5000158065895","Gaviscon Double Act Liq 300ml Peppermint","4","35.96","6.00","0.00"
"5010605829017","GERMOLENE ANTISEPT CREAM 30g","4","12.80","2.12","0.00"
