"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5060057402320","
PARACETAMOL SUSPENSION","4","21.96","3.68","0.00"
"9341394021136","AEROFILMPLUS waterproof island dressing 9cm x 10cm 3","4","25.40","4.24","0.00"
"5060057402917","ALMUS CLOTRIMAZOLE 1% 20G","1","3.99","0.67","0.00"
"5060057403327","ALMUS PARACETAMOL ORAL S 2MPLUS","4","14.36","2.40","0.00"
"5055382306788","ALMUS vapour rub 50g","4","7.96","1.32","0.00"
"5000309007668","ANADIN EXTRA ","4","7.96","1.32","0.00"
"5010724531013","Anusol Ointment 25g","8","34.32","5.76","0.00"
"5000347027499","AQUAFRESH mouthwash big teeth original 300ml","4","9.60","1.60","0.00"
"5060337729857","ARNICA CREAM","4","6.36","1.08","0.00"
"5055382305361","Baby Cotton Pads","4","4.60","0.76","0.00"
"5016379110009","Bazuka Treatment Gel 6g","4","25.60","4.28","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","20","30.00","5.00","0.00"
"5012616262203","Buttercup Bronchostop Syr 200ml","4","43.96","7.32","0.00"
"5010605640407","Canesten Crm 1% 20g","4","20.76","3.48","0.00"
"5011309055610","CETRABEN cream 200ml","4","44.40","7.40","0.00"
"088300196890","CKIN2U HIM","4","106.04","17.68","0.00"
"5016075000055","Colpermin Ibs Capsules 20","4","31.96","5.32","0.00"
"5011309013719","Covonia Dry&tckly Linctus 150ml","4","27.96","4.68","0.00"
"5000158105270","Cuprofens 400mg 96s","4","39.56","6.60","0.00"
"3574660569834","Daktarin Intensive Cream 15g","4","30.76","5.12","0.00"
"5016379156106","Dermol Cream 100g","4","20.60","3.44","0.00"
"42405962","DEXTRO BLUEBERRY","4","3.16","0.52","0.00"
"5391513951756","DIORALYTE oral powder sachets blackcurrant 0.53g/3.56g/0.30g/0.47g  6","4","19.96","3.32","0.00"
"5391513951794","DIORALYTE oral powder sachets natural 0.53g/3.56g/0.30g/0.47g  6","4","19.96","3.32","0.00"
"5000283659228","Dulcoease 100mg 30 Caps","4","26.00","4.32","0.00"
"7350087736846","E45 ITCH RELIEF CREAM","4","27.96","4.68","0.00"
"5060598253351","EMLA 5% CREAM","4","16.20","2.72","0.00"
"4005800036798","EUCERIN SHAMPOO 250ML","4","50.00","8.32","0.00"
"5050650006025","FERROUS SULPH TABS 200MG 100","4","18.36","3.08","0.00"
"96091722","Fishermans Friend","4","3.16","0.52","0.00"
"50357475","Fishermens Friend Cherry Loz 25g","8","6.32","1.04","0.00"
"5000158068742","Gaviscon Dble Act Sachets 12","4","23.96","4.00","0.00"
"7702018464692","GILLETTE pre-shave fusion 5 hydragel sensitive skin shave gel 200ml","4","13.20","2.20","0.00"
"5034660508021","Halls Soothers Peach","8","6.80","1.12","0.00"
"5010441000687","Hydrocortisone Cream 1% 15g","12","59.88","9.96","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","16","135.84","22.72","0.00"
"5012616161216","J/form PluG-In Mosq Killer","4","43.96","7.32","0.00"
"5012616265464","Jungle Formula Dry Protect Spray 125ml","4","39.96","6.68","0.00"
"5400951004310","JUNIOR BRONCHO 3 YEARS OLD","4","27.96","4.68","0.00"
"6003058068033","KEDLEY KNEE SUPPORT XL","4","25.96","4.32","0.00"
"6003058068187","Kedley Thumb Brace","4","39.96","6.68","0.00"
"5033847002192","KWELLS 12 TABLETS","4","15.96","2.68","0.00"
"5016298990973","Laxido Orange (keep)","4","23.68","3.96","0.00"
"5000158070882","Lemsip Max AlL-IN-One Sach Lemon 8 Sachets","4","23.96","4.00","0.00"
"5000158064089","LEMSIP MAX COLD/FLU CAPS 16s","4","17.96","3.00","0.00"
"5017123217258","LUNOX sleep aid tablets 50mg  20","4","21.96","3.68","0.00"
"5012616265983","LYCLEAR extra strong shampoo 200ml ","4","63.96","10.68","0.00"
"8717644016572","Lynx Peace Deodrant 150ml","4","13.16","2.20","0.00"
"5000223414658","MELOLIN 5CMX5CM","4","8.40","1.40","0.00"
"5000223414740","MELOLIN ADHESIVE low-adhesive absorbent dressing pads consumer/OTC pack  8.3cm x 6cm 5","4","14.16","2.36","0.00"
"991","MISC","8","38.36","6.40","0.00"
"5012748615281","MOVICOL tubular stick pads powder sachets 13.125g/46.6mg/178.5mg/350.7mg  20","4","41.40","6.92","0.00"
"5018632024108","MURRAYS clippers toe nail","4","10.36","1.72","0.00"
"5018632021053","MURRAYS emery boards 11cm  11cm","4","4.20","0.72","0.00"
"5018632009563","MURRAYS files & buffers stainless steel foot file","4","15.96","2.68","0.00"
"610370640753","NAIL POLISH REMOVER ACETONE FREE","4","5.96","1.00","0.00"
"5011309107012","NIZORAL ANTI DANDFUFF SHAMPOO 2%","4","35.96","6.00","0.00"
"5010441013007","NUMARK co-codamol caplets 8/500mg 32","16","63.84","10.72","0.00"
"5011417583227","NUROMOL dual action pain relief tablets 200mg/500mg  16","4","19.96","3.32","0.00"
"8700216089319","ORAL-B toothpaste kids pro kids 0-6yrs 50ml","8","16.00","2.64","0.00"
"8001841041391","Pampers Sensitive Baby Wipes 52s","4","4.80","0.64","0.96"
"5425010090028","PAPER MINTS","12","20.28","3.36","0.00"
"5017123055225","PARACETAMOL CAPS 500mg 16","12","6.60","1.08","0.00"
"5060013941511","Paracetamol Caps 500mg 32","8","16.00","2.64","0.00"
"5054563076137","Piriton Allergy Tabs 4mg 60 Allergy Tablets  4mg","4","33.96","5.68","0.00"
"5000198522501","Piriton Syrup 2mg/5ml 150ml","8","47.92","8.00","0.00"
"999","Prescriptions Nhs","125","1237.50","0.00","0.00"
"998","Prescriptions Private","1","36.64","0.00","0.00"
"5011417579015","Senokot Max Strength","4","23.96","4.00","0.00"
"5061017271444","SILEX covid self test  1","4","9.96","1.68","0.00"
"5012616291838","Solpadeine Headache Soluble","4","11.96","2.00","0.00"
"5012616267659","SOLPADEINE MAX 24","12","108.84","18.12","0.00"
"5012616267994","SOLPADEINE MAX SOL 24","4","34.00","5.68","0.00"
"5012616268007","SOLPADINE PLUS 24","4","29.08","4.84","0.00"
"5010724515068","Sterimar Isotonic Nasal Spry 100ml","4","27.16","4.52","0.00"
"5000158100510","Strepsils Hny&lmn 16S","4","13.96","2.32","0.00"
"3574660606027","SUDAFED DECONG TABS 12s","8","38.32","6.40","0.00"
"3574661692289","SUDAFED PLUS blocked nose spray 50mg/ml/1mg/ml 10ml","4","27.96","4.68","0.00"
"4003455004001","Sula Pear Drops","8","11.60","1.92","0.00"
"96073964","TEA TREE OIL","4","11.96","2.00","0.00"
"5010934003942","Vagisil Ph Balance Wash 250ml","4","23.80","3.96","0.00"
"42182658","Vaseline Petro Jelly 250ml","4","11.20","1.88","0.00"
"5000174012620","Vicks Sinex Micromist 15ml","4","23.12","3.84","0.00"
"5011321311664","Vicks Sinex Soother Nasal Spry","4","23.12","3.84","0.00"
"5060537818108","VOLTAROL 13 HOUR PAIN RELIEF","4","77.96","13.00","0.00"
"5012617001986","ZIPAMOL PLUS effervescent tablets 8/500mg  32","4","23.96","4.00","0.00"
