"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5055382306757","ALMUS tickly cough syrup 0.75mg/5ml 200ml","1","3.99","0.67","0.00"
"5055382309277","ALVITA diagnostic thermometers infrared non-contact forehead","1","34.99","5.83","0.00"
"8431306084012","ALVITA eye care wash & bath 100ml","1","4.49","0.75","0.00"
"5055382306023","ALVITA PREGNANCY TEST SINGLE","1","2.99","0.50","0.00"
"5039139011965","ALVITA surgical dispensing aids pill cutter","1","2.99","0.50","0.00"
"5391513951718","ANTHISAN BITE & STING cream 2% 20g","1","5.49","0.92","0.00"
"5051594006805","APTAMIL milk powder growing up 1 year+ 800g","1","10.49","0.00","0.00"
"5016973000294","BALANCE ACTIV intimate daily foam wash 150ml","1","7.49","1.25","0.00"
"5017848254927","BELLS OTC medicines analgesics paracetamol caplets 500mg  32","2","3.00","0.50","0.00"
"3574661366258","BENYLIN dry cough & tickly 300ml","1","9.99","1.67","0.00"
"5018632211690","BluE-Detectable Plasters","1","3.15","0.53","0.00"
"5010123728854","Calpol 120mg/5ml Original","1","7.59","1.27","0.00"
"5010123722708","Calpol Inf S/f 120mg/5ml 100ml","1","4.59","0.77","0.00"
"5010605054174","CANESTEN vaginal tablets 200mg  3","1","5.99","1.00","0.00"
"5011309055610","CETRABEN cream 200ml","1","11.10","1.85","0.00"
"8699568529423","CLAIROL nice n easy care colour brown black 3","1","7.99","1.33","0.00"
"4084500477520","Clearblue One Step Preg Test 1","1","7.99","1.33","0.00"
"5060013941610","CO CODAMOL 8MG/500MG","4","15.96","2.68","0.00"
"3663555002119","COMPEED","1","6.30","1.05","0.00"
"5054563057815","CORSODYL mouthwash original alcohol free 0.2% 300ml","1","5.85","0.98","0.00"
"9001375996494","Cow/gate Instant Carobel 135g Instant Carobel","2","8.70","0.00","0.00"
"5027097795331","Daktacort Hc Cream 15g","1","7.69","1.28","0.00"
"5012674021217","Daktarin Cream","1","4.99","0.83","0.00"
"50184262","Dextro Energy B/currant 47g","1","0.79","0.00","0.00"
"76111587","Dextro Energy Classic 47g","1","0.79","0.00","0.00"
"76111570","Dextro Lemon","2","1.58","0.26","0.00"
"5021265852857","DIABETONE PLUS","1","15.85","2.64","0.00"
"5391513951756","DIORALYTE oral powder sachets blackcurrant 0.53g/3.56g/0.30g/0.47g  6","1","4.99","0.83","0.00"
"8720181286902","DOVE CLASSIC  ","1","2.50","0.42","0.00"
"8720181260520","DOVE LOTION","1","6.99","0.00","0.00"
"5000283661900","DULCOLAX TWELVE PLUS 5MG 40TAB","1","5.82","0.97","0.00"
"4005800237522","Eplast Fabric Plasters 10","1","2.89","0.48","0.00"
"5055382300755","FERROUS GLUCONATE 300MG","4","14.04","2.36","0.00"
"5060280920370","Flexiseq Gel 50g","1","19.95","3.33","0.00"
