SKUID,Description,QTY Sold,Total,Vat,Discount,
5.06011E+12,3 IN 1 MAKE UP REMOVAL WIPES,1,1,0.17,0,02/05/2025
5.00028E+12,Allevia Fexofenadine,2,20.98,3.5,0,02/05/2025
5.39151E+12,DIORALYTE oral powder sachets citrus 0.53g/3.56g/0.30g/0.47g  6,1,4.99,0.83,0,02/05/2025
5.00035E+12,EUMOVATE ECZ&DER CRM 15g,1,9.98,1.66,0,02/05/2025
5.01225E+12,FACIAL WIPES SOFT APRICOT,1,1,0.17,0,02/05/2025
5.01131E+12,Vira Soothe 75g,1,9.99,1.67,0,02/05/2025
5.06006E+12,ALMUS CALAMINE LOTION ,1,3.29,0.55,0,02/05/2025
5.05538E+12,ALVITA incontinence range pads waterproof bed 60cm x 90cm 30,1,16.99,0,0,02/05/2025
5.05538E+12,ALVITA PREGNANCY TEST SINGLE,1,2.99,0.5,0,02/05/2025
5.03556E+12,AVOMINE 25MG TAB,1,7.58,1.26,0,02/05/2025
7.35009E+12,E45 ITCH RELIEF CREAM,1,6.99,1.17,0,02/05/2025
5.01701E+12,Fluconazole 150mg Capsule,2,7.98,1.34,0,02/05/2025
5.01012E+12,Sinutab Tablets 15s,1,6.49,1.08,0,02/05/2025
5.06011E+12,TEA TREE CLENSING WIPES 25,3,3,0.51,0,02/05/2025
27122301,DISPENSARY SALE,1,1.78,0.3,0,02/05/2025
5.01131E+12,FLEXITOL for heels 25% urea balm 40g,1,3.99,0.67,0,02/05/2025
4.7171E+12,Glucorx Nexus Test Strips 50,1,17.95,2.99,0,02/05/2025
96043509,Halls Citrus sf,1,0.85,0.14,0,02/05/2025
5.05456E+12,Night Nurse Capsules 10,1,7.16,1.19,0,02/05/2025
5.00016E+12,OPTREX MULTI EYE WASH SOL 300ml,1,7.49,1.25,0,02/05/2025
4.0568E+12,Silvikrin H/spray Max Firm Hold 250ml,1,2.69,0.45,0,02/05/2025
5.00017E+12,Strefen Honey & Lemon 16 Loz,1,5.29,0.88,0,02/05/2025
5.02487E+12,VALUPAK FOLIC ACID 90S,1,1.14,0.19,0,02/05/2025
3.05764E+12,VOLVIC,1,1,0.17,0,02/05/2025
42211471,WRIGLEYS EXTRA WHITE CHEWING GUM,1,0.79,0.13,0,02/05/2025
6.92176E+12,1LFT,1,2.49,0.42,0,02/05/2025
5.01729E+12,4 IN 1 FACIAL CLEANSING WIPES,2,2,0.34,0,02/05/2025
5.01225E+12,BEAUTY FORMULAS intensive foot cream  100ml,1,1.39,0.23,0,02/05/2025
5.01262E+12,Beconase H/fever Ad100 Spray,1,7.99,1.33,0,02/05/2025
5.0301E+12,JAKEMANS menthol lozenges peppermint 73g,2,3.98,0.66,0,02/05/2025
5.01687E+12,KINETIK BLOOD PRESSURE MONITOR,1,24.99,4.17,0,02/05/2025
4.98707E+12,Kool N Sooth Migraine Pads,1,3.12,0.52,0,02/05/2025
5.03607E+12,MIGRAKIND tablets f/c 50mg  2,1,8.95,1.49,0,02/05/2025
991,MISC,4,23.1,3.86,0,02/05/2025
5.00035E+12,Night Nurse 160ml,1,8.99,1.5,0,02/05/2025
