"SKUID","Description","QTY Sold","Total","Vat","Discount"
"5060660872008","AACULOSE eye drops 0.5% 10ml","4","7.12","1.20","0.00"
"5012616173004","Abidec Drops 25ml","4","23.96","4.00","0.00"
"5031413982312","ALOE VERA LIP BALM","4","7.96","1.32","0.00"
"4015400259459","ALWAYS CLASSIC","8","12.72","2.16","0.00"
"4015400731535","Always Sensitive Norm 16s","4","6.20","0.00","0.00"
"5036631010281","ASHTON & PARSONS TEETHING GEL","4","23.00","3.84","0.00"
"5012616291708","Beconase Hayfever Nasal Spray 0.05% 180 Doses","4","43.96","7.32","0.00"
"5012251012447","BF HAND CREAM","12","12.00","2.04","0.00"
"5012616174803","Buttercup Syrup Orginal 150ml","4","23.96","4.00","0.00"
"5010123722630","CALPOL 2M+ 100ML","8","36.72","6.16","0.00"
"3574661648804","CALPOL MELTS 6PLUS","4","22.72","3.80","0.00"
"5010123730642","Calpol Six Plus Sfree 200ml","4","35.96","6.00","0.00"
"5010605401787","CLARITYN kids allergy syrup berry 5mg/5ml 60ml","4","23.16","3.88","0.00"
"01050361000030111729","CLINIPORE TAPE 2.5CMX5M","4","5.96","1.00","0.00"
"01050361000030281729","CLINIPORE TAPE 5X5","4","7.56","1.28","0.00"
"5027097795331","Daktacort Hc Cream 15g","12","92.28","15.36","0.00"
"5012674021217","Daktarin Cream","4","19.96","3.32","0.00"
"5011501006731","Deep Heat Bk Patch x2","4","22.60","3.76","0.00"
"50184262","Dextro Energy B/currant 47g","4","3.16","0.00","0.00"
"50184491","Dextro Energy Tropical","12","9.48","0.00","0.00"
"76111570","Dextro Lemon","8","6.32","1.04","0.00"
"5060035247127","Difflam Spray 30ml","4","33.96","5.68","0.00"
"5060102170006","EAROL OLIVE OIL SPRAY 10ml","4","25.40","4.24","0.00"
"5060428970007","ELLAONE tablet 30mg  1","4","139.80","6.64","0.00"
"5060598253351","EMLA 5% CREAM","4","16.20","2.72","0.00"
"96190968","EURAX HC CREAM","4","19.96","3.32","0.00"
"6921756492434","FLOWFLEX lateral flow test kits  5","4","36.00","6.00","0.00"
"5017353506481","GALPHARM treathay tablets f/c 120mg  30","4","27.96","4.68","0.00"
"5011417581605","GAVISCON DOUBLE ACTION liquid aniseed 325mg/500mg/213mg 600ml","4","67.96","11.32","0.00"
"4030571004189","GEL TEARS 0.2%","8","26.16","4.36","0.00"
"5060216564753","HALIBORANGE omega-3 & multivitamin softies  30","4","24.00","4.00","0.00"
"5031676000754","Hydrocortisone 1% Cream","4","32.76","5.48","0.00"
"5011309267211","Ibuprofen 400mg Tablets","4","11.16","1.88","0.00"
"5060057403136","IBUPROFEN AMD CODEINE","8","67.92","11.36","0.00"
"5060464500015","Ibuprofen Tablets 200mg 24","4","8.20","1.36","0.00"
"3574661028262","Imodium Instants 12s","4","32.96","5.48","0.00"
"5016870224366","KINETIK BLOOD PRESSURE MONITOR","4","99.96","16.68","0.00"
"4987072011157","Koolnsoothe Child 4","4","10.80","1.80","0.00"
"5000158065420","Lemsip Max C/fl Dy/nght 16 Capsules","4","21.96","3.68","0.00"
"5000158065710","Lemsip Max Cold/flu Sach 10 Blackcurrant","4","20.76","3.48","0.00"
"5000223414627","Melolin Dressing Pads 10x10cm","4","18.72","3.12","0.00"
"991","MISC","4","5.16","0.88","0.00"
"5000347062193","Night Nurse 160ml","4","35.96","6.00","0.00"
"5054563062574","Night Nurse Capsules 10","4","28.64","4.76","0.00"
"5012616291654","NYTOL ONE A NGT 20 TABLETS","4","32.76","5.48","0.00"
"5000477672187","OLBAS oil 30ml","4","31.96","5.32","0.00"
"50483488","OPTREX BLOODSHOT EYE DROPS 10ml","8","39.92","6.64","0.00"
"5000158069473","OPTREX eye spray actimist 2in1 itchy watery 10ml","4","63.96","10.68","0.00"
"5060025370026","Orajel Mouth Gel 10% Blue 5.3g","4","19.16","3.20","0.00"
"5054563947239","OTRIVINE nasal spray with khone spray congestion relief 0.1% 10ml","4","24.00","4.00","0.00"
"5000347063282","Panadol Extra Sol Tabs 24","16","87.84","14.68","0.00"
"5060057403273","PARACETAMOL","28","42.00","7.00","0.00"
"5017123055225","PARACETAMOL CAPS 500mg 16","4","2.20","0.36","0.00"
"5000198522501","Piriton Syrup 2mg/5ml 150ml","4","23.96","4.00","0.00"
"999","Prescriptions Nhs","116","1148.40","0.00","0.00"
"998","Prescriptions Private","16","1273.92","0.00","0.00"
"5010605300479","Rennie Orange Chewable 24","4","12.36","2.08","0.00"
"5018632274749","SAFE&SOUND STER ADHESIVE WATERPROOF","12","12.00","2.00","0.00"
"5018632116865","Safe+sound Antiseptic Wips X10","4","6.76","1.12","0.00"
"5011417579039","Senokot Liq 150ml","4","27.96","4.68","0.00"
"5011309102611","Sodium Bicarbonate 5% Ear Drops","4","15.16","2.52","0.00"
"5012616267659","SOLPADEINE MAX 24","8","72.56","12.08","0.00"
"5012616268007","SOLPADINE PLUS 24","4","29.08","4.84","0.00"
"5012616268182","SOLPADINE PLUSE 24CAP","8","55.12","9.20","0.00"
"5012674061381","STUGERON 15 TABS","4","21.16","3.52","0.00"
"3574661433400","SUDAFED sinus ease nasal spray 0.14ml 15ml","4","24.20","4.04","0.00"
"5060100938691","SURESIGN vitamin D deficiency test  1","4","51.96","8.68","0.00"
"01050361000030111728","SURGICAL TAPE","4","5.96","1.00","0.00"
"5012616170201","T.c.p. Lqd 100ml","4","23.96","4.00","0.00"
"5021265245697","ULTRA minerals tablets magnesium 375mg  60","4","23.80","3.96","0.00"
"5024874032061","Valupak Vit D3 1000iu 60s","4","4.56","0.76","0.00"
"5000174929591","Vicks Vapour Rub 100g","4","21.16","3.52","0.00"
"3057640100673","VOLVIC","4","4.00","0.68","0.00"
"5017007600176","WINDEZE 20S GEL","4","19.96","3.32","0.00"
"01040521991414281124","ZETUVIT 20CMX20CM","4","4.00","0.68","0.00"
